,_id,azienda,link,luogo,titolo
484,a_8dfa6403320a5d900817737f356bd505,Hays,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Roma
",Credit Analyst - Npl
485,a_af6b7d061b798691293288565aae44ed,Sida Group,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Milano
",Tirocinio Web Analyst - Milano
486,a_cd0f9442a2edcc808b4abb1c6ab77c09,Sida Group,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Pavia
",Tirocinio Web Analyst - Pavia
487,a_bb65d8df3bbe1a48a4a355da336c6e94,Profili,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Lombardia
",MARKETING AND BUSINESS DATA ANALYST
488,a_30500abebda900cb3d612ba529be9fb2,Finsoft srl,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Torino
",Data Analyst
489,a_6b805dfe8bdc3a8507365aa64809f327,AGM SOLUTIONS SRL,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Torino
",Security Analyst Senior
490,a_4b1c9b8879c6ffdd2443fd6deeb88e89,SCR Consulenza,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Varese
",ERP ANALYST Settore: Metalmeccanico
491,a_ea86075df1043b7c1d64178a44d9fe22,Consulthink S.p.A,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Roma
",Blue Team – Security Analyst
492,a_7a7107591bc81e43f3f2ab060f605207,Adecco,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Como
",BUSINESS ANALYST
493,a_283e3322d85b42725ed3c497b5960eb7,VALUEMENT ITALIA,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Milano
",Business Analyst Intern
494,a_daf88d951e531fb853db1dd06d9aed89,Dolmen Technology,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Milano
",Business Analyst Capital Markets
495,a_f05f407994a3e0904da724f79e2c33f5,Edynet Informatica Globale Srl,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Genova
",BUSINESS ANALYST
496,a_f228fa5d7ef709c5fa6f723d412b59f1,Comune di Albano Laziale,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Roma
",JOB DAY – Verisure – Junior Analyst
497,a_23855d81ae3a5d097e57ad248ae8f69f,JoConnect,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Milano
",Technical Analyst Mobile Developer_MI
498,a_94e880e6223ad06d5a54a3fab6b1ad59,Edynet Informatica Globale Srl,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Genova
",Business Analyst
499,a_5ed984a0586ce0f83eb6c70f0fa44e96,Consulthink S.p.A,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Roma
",Blue Team – Junior Security Analyst
500,a_a0bd5a29c3f0abd3712c39208c1b2612,JoConnect,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Milano
",Technical Analyst_MI
501,a_8ca8083f8010b5f9270d25f242b572af,JoConnect,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Milano
",Business Analyst Capital Markets_MI
502,a_0d5f968f11147a5d8f8837cecabfb418,Synergie,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Suisio, Bergamo
",DATA ANALYST
503,a_81e5ad34c17f302959c78bddb0fad416,Dolmen Technology,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Milano
","Business Analyst, Capital Markets, Murex, Inglese"
504,a_9dd6ed0db991073c7bd9c2c639e367c4,Hays,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Milano
",Software Developer - Enterprise Data Analyst – Media Company
505,a_b153ee282c4fdf45f8fc0d5da7a0f6f3,Wyser,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Milano
",Analyst Controllo Partecipate
506,a_487d45cae9bb15bce15809e1e46f6e87,Etjca,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Roma
",IT SECURITY ANALYST JUNIOR
507,a_3cf647710db862ac5aec4c50213df1d3,Integris,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Roma
",SAP DATA ANALYST
508,a_5ec92c0ceae6f7052ed37d90e8c933ae,Atelier Recruitment,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Monza, Monza Brianza
",Business Data Analyst
